elapsed_ms,yaw_x10,ok_count,error_count
78.0,1257,38435,5088
250.0,1257,38441,5090
313.0,1257,38451,5091
453.0,1257,38461,5092
563.0,1257,38470,5093
734.0,1257,38481,5094
781.0,1257,38488,5095
906.0,1258,38499,5095
1016.0,1257,38509,5096
1125.0,1257,38518,5096
1250.0,1257,38529,5097
1359.0,1258,38536,5099
1484.0,1258,38547,5100
1609.0,1257,38555,5103
1734.0,1257,38566,5103
1875.0,1258,38575,5106
1984.0,1258,38583,5108
2125.0,1258,38592,5109
2234.0,1258,38601,5111
2375.0,1258,38611,5112
2500.0,1258,38624,5112
2578.0,1258,38632,5113
2688.0,1258,38642,5113
2813.0,1258,38649,5117
2938.0,1258,38658,5119
3078.0,1258,38666,5121
3188.0,1258,38676,5123
3313.0,1258,38687,5123
3438.0,1258,38698,5124
3563.0,1258,38707,5125
3688.0,1258,38716,5127
3828.0,1258,38724,5129
3953.0,1258,38733,5131
4047.0,1258,38741,5133
4141.0,1258,38750,5133
4281.0,1258,38760,5134
4391.0,1258,38769,5135
4531.0,1258,38780,5136
4641.0,1258,38788,5138
4781.0,1258,38798,5139
4891.0,1258,38805,5142
5031.0,1258,38816,5142
5172.0,1258,38826,5143
5250.0,1257,38834,5145
5359.0,1257,38843,5146
5469.0,1257,38849,5149
5578.0,1258,38860,5149
5688.0,1258,38869,5150
5781.0,1258,38878,5151
5891.0,1258,38889,5151
6000.0,1258,38898,5152
6125.0,1257,38908,5153
6250.0,1257,38917,5155
6375.0,1257,38928,5156
6500.0,1257,38937,5158
6625.0,1257,38945,5160
6750.0,1257,38954,5162
6875.0,1257,38965,5162
7000.0,1257,38974,5164
7109.0,1257,38985,5165
7219.0,1257,38995,5165
7344.0,1256,39002,5167
7453.0,1256,39009,5170
7578.0,1256,39020,5171
7703.0,1256,39031,5172
7828.0,1256,39042,5172
7953.0,1256,39052,5174
8078.0,1256,39059,5176
8203.0,1256,39066,5179
8328.0,1256,39075,5181
8453.0,1256,39084,5183
8578.0,1257,39093,5185
8719.0,1257,39104,5186
8813.0,1257,39115,5186
8938.0,1257,39123,5186
9047.0,1257,39133,5187
9141.0,1257,39143,5187
9250.0,1257,39151,5188
9359.0,1257,39161,5188
9484.0,1257,39169,5189
9625.0,1258,39180,5190
9750.0,1258,39187,5194
9859.0,1259,39198,5194
9984.0,1259,39206,5196
10109.0,1259,39213,5198
10234.0,1259,39224,5198
10391.0,1259,39237,5199
10469.0,1259,39245,5199
10594.0,1259,39252,5202
10719.0,1260,39262,5202
10813.0,1260,39270,5204
10922.0,1235,39280,5204
11016.0,1234,39290,5204
11125.0,1234,39299,5204
11234.0,1234,39307,5206
11359.0,1234,39317,5207
11484.0,1234,39326,5208
11609.0,1234,39336,5209
11734.0,1234,39345,5211
11859.0,1234,39355,5213
12000.0,1234,39363,5216
12109.0,1235,39372,5218
12234.0,1235,39381,5220
12344.0,1236,39387,5223
12469.0,1236,39394,5225
12578.0,1236,39403,5226
12703.0,1236,39411,5228
12828.0,1237,39422,5228
12953.0,1237,39433,5229
13094.0,1238,39444,5229
13203.0,1238,39453,5231
13328.0,1238,39463,5233
13453.0,1239,39468,5236
13578.0,1239,39476,5239
13703.0,1240,39487,5240
13813.0,1240,39495,5242
13922.0,1240,39505,5242
14047.0,1240,39517,5242
14172.0,1241,39528,5242
14297.0,1243,39538,5243
14422.0,1243,39549,5244
14547.0,1243,39561,5244
14672.0,1244,39571,5245
14797.0,1244,39577,5248
14891.0,1244,39586,5249
15000.0,1244,39595,5250
15109.0,1244,39605,5250
15234.0,1245,39616,5251
15359.0,1245,39627,5251
15484.0,1246,39639,5251
15609.0,1246,39647,5254
15734.0,1247,39658,5255
15859.0,1248,39664,5258
15984.0,1249,39676,5258
16109.0,1249,39687,5259
16234.0,1249,39697,5260
16328.0,1249,39704,5262
16438.0,1249,39712,5263
16547.0,1250,39721,5264
16656.0,1250,39730,5265
16781.0,1250,39737,5269
16906.0,1249,39747,5270
17063.0,1248,39757,5271
17156.0,1248,39766,5272
17281.0,1250,39775,5274
17438.0,1265,39788,5276
17531.0,1287,39796,5276
17641.0,1314,39804,5278
17750.0,1337,39810,5280
17859.0,1352,39818,5281
18000.0,1363,39827,5283
18109.0,1380,39836,5283
18203.0,1394,39845,5284
18344.0,1410,39854,5286
18469.0,1428,39866,5286
18594.0,1444,39877,5287
18719.0,1465,39886,5288
18844.0,1498,39896,5289
18969.0,1533,39904,5290
19094.0,1564,39911,5293
19219.0,1595,39920,5295
19328.0,1629,39929,5297
19453.0,1658,39939,5298
19547.0,1695,39947,5300
19672.0,1752,39957,5301
19781.0,-1765,39967,5301
19906.0,-1686,39976,5301
20031.0,-1654,39985,5303
