phase,elapsed_ms,yaw_x10,ok_count,error_count
baseline,94.0,110,6124,811
baseline,235.0,109,6134,812
baseline,329.0,110,6143,813
baseline,438.0,110,6153,813
baseline,563.0,110,6163,814
baseline,657.0,110,6169,816
baseline,782.0,110,6178,816
baseline,922.0,110,6187,818
baseline,1047.0,111,6199,818
baseline,1157.0,111,6209,819
baseline,1297.0,111,6219,820
baseline,1407.0,111,6232,820
baseline,1532.0,111,6240,822
baseline,1657.0,111,6247,824
baseline,1782.0,111,6255,827
baseline,1875.0,111,6264,828
baseline,2000.0,110,6274,828
motors,94.0,110,6299,832
motors,235.0,110,6306,835
motors,360.0,110,6316,836
motors,469.0,110,6326,838
motors,610.0,110,6335,839
motors,735.0,110,6346,840
motors,860.0,110,6356,841
motors,985.0,110,6365,843
motors,1094.0,110,6376,843
motors,1203.0,110,6383,845
motors,1313.0,110,6392,845
motors,1438.0,110,6401,847
motors,1563.0,110,6411,849
motors,1672.0,110,6423,849
motors,1813.0,110,6433,850
motors,1938.0,110,6439,853
motors,2063.0,110,6450,854
motors,2172.0,110,6459,856
after,94.0,110,6532,865
after,219.0,110,6543,865
after,359.0,110,6553,866
after,469.0,110,6563,868
after,594.0,110,6573,870
after,719.0,110,6582,870
after,859.0,110,6594,870
after,984.0,110,6602,871
after,1109.0,110,6612,873
after,1203.0,110,6621,875
after,1312.0,110,6627,877
after,1453.0,110,6636,879
after,1578.0,110,6646,880
after,1703.0,110,6657,880
after,1828.0,110,6668,881
after,1937.0,110,6680,881
after,2062.0,110,6691,882
